timestamp,open,high,low,close,volume,close_time,quote_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-09-13 00:00:00+00:00,1592.29,1600.67,1588.1,1596.15,75833.408,2023-09-13 00:59:59.999000+00:00,120939092.10485,74385,39028.422,62258101.53464,0
2023-09-13 01:00:00+00:00,1596.15,1600.14,1594.84,1598.15,38010.52,2023-09-13 01:59:59.999000+00:00,60730335.43774,42805,19960.721,31892612.36,0
2023-09-13 02:00:00+00:00,1598.15,1598.74,1593.23,1593.56,34890.893,2023-09-13 02:59:59.999000+00:00,55689722.0922,37899,15419.571,24612268.68164,0
2023-09-13 03:00:00+00:00,1593.52,1595.37,1585.75,1588.9,58006.065,2023-09-13 03:59:59.999000+00:00,92243532.71266,56920,22918.62,36444543.95985,0
2023-09-13 04:00:00+00:00,1588.9,1591.51,1587.11,1590.0,34895.628,2023-09-13 04:59:59.999000+00:00,55470573.14864,38917,18573.693,29525946.26322,0
2023-09-13 05:00:00+00:00,1590.0,1590.3,1580.46,1583.75,67042.85,2023-09-13 05:59:59.999000+00:00,106206540.54428,69546,30371.93,48111053.56918,0
2023-09-13 06:00:00+00:00,1583.75,1588.93,1581.06,1586.89,48669.356,2023-09-13 06:59:59.999000+00:00,77135396.66314,50783,27238.131,43172681.79366,0
2023-09-13 07:00:00+00:00,1586.88,1602.77,1582.0,1583.69,195850.902,2023-09-13 07:59:59.999000+00:00,311752895.86461,176669,98296.667,156504060.28178,0
2023-09-13 08:00:00+00:00,1583.69,1593.74,1582.0,1591.89,61914.793,2023-09-13 08:59:59.999000+00:00,98434128.46695,68816,33695.841,53573260.84178,0
2023-09-13 09:00:00+00:00,1591.89,1601.76,1590.07,1599.91,80914.835,2023-09-13 09:59:59.999000+00:00,129157813.65846,85454,45779.51,73077936.78536,0
2023-09-13 10:00:00+00:00,1599.91,1603.84,1594.37,1599.46,81075.253,2023-09-13 10:59:59.999000+00:00,129574767.14636,74592,40211.347,64274598.80253,0
2023-09-13 11:00:00+00:00,1599.46,1606.91,1596.44,1603.83,68177.203,2023-09-13 11:59:59.999000+00:00,109221592.7964,60787,36700.979,58801715.32555,0
2023-09-13 12:00:00+00:00,1603.84,1604.74,1591.3,1600.54,164572.872,2023-09-13 12:59:59.999000+00:00,262996218.16925,169404,80731.403,129019843.62814,0
2023-09-13 13:00:00+00:00,1600.54,1601.5,1590.51,1594.54,98431.621,2023-09-13 13:59:59.999000+00:00,157115192.08086,88599,42589.833,67984750.79906,0
2023-09-13 14:00:00+00:00,1594.55,1611.5,1591.53,1603.03,156462.745,2023-09-13 14:59:59.999000+00:00,250975196.58877,144416,87266.29,139985353.37899,0
2023-09-13 15:00:00+00:00,1603.03,1620.0,1601.5,1607.31,169050.699,2023-09-13 15:59:59.999000+00:00,272298560.95713,144529,92451.427,148940804.69544,0
2023-09-13 16:00:00+00:00,1607.31,1615.44,1605.11,1608.61,95061.501,2023-09-13 16:59:59.999000+00:00,153118689.99626,95608,48464.922,78070489.47913,0
2023-09-13 17:00:00+00:00,1608.61,1610.32,1595.72,1596.92,149368.815,2023-09-13 17:59:59.999000+00:00,239358052.19933,136223,70980.994,113760595.88498,0
2023-09-13 18:00:00+00:00,1596.91,1601.86,1596.03,1598.78,45709.096,2023-09-13 18:59:59.999000+00:00,73106894.8266,50740,23592.054,37735113.07366,0
2023-09-13 19:00:00+00:00,1598.78,1602.2,1594.5,1598.62,47202.667,2023-09-13 19:59:59.999000+00:00,75485018.49117,46504,24899.085,39821281.60257,0
2023-09-13 20:00:00+00:00,1598.62,1604.97,1598.34,1602.89,30509.445,2023-09-13 20:59:59.999000+00:00,48876279.73027,30419,16336.83,26170860.69204,0
2023-09-13 21:00:00+00:00,1602.88,1606.57,1602.0,1604.48,21975.623,2023-09-13 21:59:59.999000+00:00,35252125.91884,23010,10701.366,17167369.26145,0
2023-09-13 22:00:00+00:00,1604.48,1608.6,1604.48,1606.09,22387.798,2023-09-13 22:59:59.999000+00:00,35966595.99325,22701,11560.074,18571437.24295,0
2023-09-13 23:00:00+00:00,1606.08,1609.24,1605.18,1606.68,23862.928,2023-09-13 23:59:59.999000+00:00,38342360.0041,23893,12380.186,19892601.30361,0
2023-09-14 00:00:00+00:00,1606.69,1636.0,1606.02,1635.2,290698.712,2023-09-14 00:59:59.999000+00:00,471957263.80607,206706,167422.483,271796377.24687,0
2023-09-14 01:00:00+00:00,1635.2,1639.0,1618.0,1619.68,248659.412,2023-09-14 01:59:59.999000+00:00,404716357.51061,208351,124428.941,202526582.37727,0
2023-09-14 02:00:00+00:00,1619.68,1622.54,1616.82,1622.53,57339.707,2023-09-14 02:59:59.999000+00:00,92862010.14869,59187,28320.042,45868159.27017,0
2023-09-14 03:00:00+00:00,1622.54,1623.68,1617.45,1619.37,29784.489,2023-09-14 03:59:59.999000+00:00,48252054.8385,38059,14520.796,23524357.92159,0
2023-09-14 04:00:00+00:00,1619.36,1620.71,1613.03,1614.99,47163.473,2023-09-14 04:59:59.999000+00:00,76251173.45075,49278,20942.84,33857384.5547,0
2023-09-14 05:00:00+00:00,1615.0,1617.59,1611.36,1613.54,39222.335,2023-09-14 05:59:59.999000+00:00,63303731.19276,45663,19257.799,31084884.55115,0
2023-09-14 06:00:00+00:00,1613.53,1619.23,1612.36,1618.76,34277.449,2023-09-14 06:59:59.999000+00:00,55398403.12308,38921,18681.087,30193281.34213,0
2023-09-14 07:00:00+00:00,1618.76,1625.21,1615.44,1620.67,57663.118,2023-09-14 07:59:59.999000+00:00,93423153.45931,61007,30953.115,50153739.45492,0
2023-09-14 08:00:00+00:00,1620.67,1621.65,1616.39,1619.04,46879.662,2023-09-14 08:59:59.999000+00:00,75909076.17082,54290,21929.132,35508635.1434,0
2023-09-14 09:00:00+00:00,1619.04,1620.22,1617.15,1618.75,18321.772,2023-09-14 09:59:59.999000+00:00,29654363.47876,30530,7797.768,12621270.24149,0
