timestamp,open,high,low,close,volume,close_time,quote_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-13 00:00:00+00:00,2360.79,2363.0,2355.65,2356.5,41013.154,2024-09-13 00:59:59.999000+00:00,96762799.32251,61402,18596.516,43877265.3349,0
2024-09-13 01:00:00+00:00,2356.49,2363.8,2348.61,2357.69,51426.601,2024-09-13 01:59:59.999000+00:00,121098760.77916,67465,27761.537,65387545.56098,0
2024-09-13 02:00:00+00:00,2357.68,2359.54,2352.36,2355.13,21832.609,2024-09-13 02:59:59.999000+00:00,51418691.13968,49927,10458.8,24631725.02326,0
2024-09-13 03:00:00+00:00,2355.13,2359.86,2354.54,2355.31,25410.887,2024-09-13 03:59:59.999000+00:00,59892351.87937,42980,11898.553,28046374.10185,0
2024-09-13 04:00:00+00:00,2355.31,2358.45,2346.71,2347.03,37027.712,2024-09-13 04:59:59.999000+00:00,87141251.21918,48671,18074.038,42540220.58206,0
2024-09-13 05:00:00+00:00,2347.02,2351.44,2344.02,2347.81,46485.339,2024-09-13 05:59:59.999000+00:00,109158397.38389,52113,26351.906,61886413.76727,0
2024-09-13 06:00:00+00:00,2347.81,2348.53,2336.2,2336.92,47154.695,2024-09-13 06:59:59.999000+00:00,110414579.52618,56311,21110.59,49433092.6777,0
2024-09-13 07:00:00+00:00,2336.92,2348.5,2336.25,2347.63,46719.37,2024-09-13 07:59:59.999000+00:00,109453587.73792,55793,27838.066,65215981.17826,0
2024-09-13 08:00:00+00:00,2347.63,2349.6,2341.57,2341.63,32616.501,2024-09-13 08:59:59.999000+00:00,76517553.37881,46360,13159.296,30873793.58652,0
2024-09-13 09:00:00+00:00,2341.63,2357.1,2340.05,2351.01,49089.519,2024-09-13 09:59:59.999000+00:00,115380575.99109,65933,28243.471,66386435.74836,0
2024-09-13 10:00:00+00:00,2351.0,2370.46,2350.13,2370.45,81979.348,2024-09-13 10:59:59.999000+00:00,193574016.02173,87848,46223.716,109169022.19528,0
2024-09-13 11:00:00+00:00,2370.48,2375.74,2348.8,2353.22,127945.946,2024-09-13 11:59:59.999000+00:00,302378207.33837,133708,52634.763,124416751.90836,0
2024-09-13 12:00:00+00:00,2353.23,2359.47,2340.94,2350.97,133202.695,2024-09-13 12:59:59.999000+00:00,312976813.28373,137780,69922.018,164305590.29473,0
2024-09-13 13:00:00+00:00,2350.97,2359.72,2344.44,2354.37,73426.411,2024-09-13 13:59:59.999000+00:00,172689681.08147,102483,39410.539,92704403.93416,0
2024-09-13 14:00:00+00:00,2354.38,2369.76,2343.55,2365.87,197880.188,2024-09-13 14:59:59.999000+00:00,466691426.64118,207477,103826.62,244918567.34838,0
2024-09-13 15:00:00+00:00,2365.87,2412.19,2362.47,2406.83,420828.111,2024-09-13 15:59:59.999000+00:00,1007555582.85828,368373,231417.336,553985783.39597,0
2024-09-13 16:00:00+00:00,2406.83,2418.82,2395.0,2405.95,163771.661,2024-09-13 16:59:59.999000+00:00,394229257.43679,198483,85127.839,204958984.76563,0
2024-09-13 17:00:00+00:00,2405.96,2427.35,2405.13,2409.19,125388.132,2024-09-13 17:59:59.999000+00:00,302741283.16202,148730,64581.096,155966787.15703,0
2024-09-13 18:00:00+00:00,2409.29,2427.66,2405.08,2420.0,118143.508,2024-09-13 18:59:59.999000+00:00,285720953.44151,145024,57644.794,139418925.16844,0
2024-09-13 19:00:00+00:00,2419.99,2427.01,2410.0,2419.93,84565.272,2024-09-13 19:59:59.999000+00:00,204586505.61004,112699,42259.652,102256308.89992,0
2024-09-13 20:00:00+00:00,2419.94,2424.75,2411.6,2420.75,49936.497,2024-09-13 20:59:59.999000+00:00,120683183.51273,73894,28011.92,67701583.44038,0
2024-09-13 21:00:00+00:00,2420.74,2463.77,2420.16,2446.1,215657.07,2024-09-13 21:59:59.999000+00:00,527009184.14011,215504,125913.686,307695788.58603,0
2024-09-13 22:00:00+00:00,2446.09,2457.13,2441.49,2445.31,70828.934,2024-09-13 22:59:59.999000+00:00,173462510.90205,113897,34941.619,85578185.06767,0
2024-09-13 23:00:00+00:00,2445.32,2446.78,2436.65,2438.15,52648.877,2024-09-13 23:59:59.999000+00:00,128530505.23903,75146,22983.401,56113640.45483,0
2024-09-14 00:00:00+00:00,2438.16,2439.61,2423.7,2426.84,73304.791,2024-09-14 00:59:59.999000+00:00,178221483.4493,90844,25072.993,60959753.67538,0
2024-09-14 01:00:00+00:00,2426.84,2434.24,2420.74,2422.12,93091.866,2024-09-14 01:59:59.999000+00:00,226071672.54501,83755,34439.119,83649908.22241,0
2024-09-14 02:00:00+00:00,2422.12,2428.66,2422.12,2423.71,29633.928,2024-09-14 02:59:59.999000+00:00,71881953.76687,45072,14849.205,36022007.00602,0
2024-09-14 03:00:00+00:00,2423.7,2433.73,2423.7,2431.67,33984.691,2024-09-14 03:59:59.999000+00:00,82584596.88967,49432,18117.291,44021073.12099,0
2024-09-14 04:00:00+00:00,2431.67,2432.4,2424.86,2425.12,21465.781,2024-09-14 04:59:59.999000+00:00,52124909.93216,36973,9433.876,22907763.31383,0
2024-09-14 05:00:00+00:00,2425.12,2426.0,2413.4,2413.72,49064.22,2024-09-14 05:59:59.999000+00:00,118730159.21022,66905,18706.352,45280532.46542,0
2024-09-14 06:00:00+00:00,2413.73,2420.5,2412.27,2418.48,44931.813,2024-09-14 06:59:59.999000+00:00,108606752.43784,57423,25824.121,62424488.82653,0
2024-09-14 07:00:00+00:00,2418.47,2421.65,2415.65,2419.23,35235.058,2024-09-14 07:59:59.999000+00:00,85217663.38065,40757,18685.965,45192327.51503,0
2024-09-14 08:00:00+00:00,2419.23,2420.68,2410.05,2414.6,34766.969,2024-09-14 08:59:59.999000+00:00,83976801.6972,46555,14083.386,34017428.58107,0
2024-09-14 09:00:00+00:00,2414.6,2419.49,2413.04,2418.97,28309.004,2024-09-14 09:59:59.999000+00:00,68412274.99218,42938,15317.272,37017735.14117,0
2024-09-14 10:00:00+00:00,2418.97,2418.97,2410.02,2412.4,28389.441,2024-09-14 10:59:59.999000+00:00,68520405.62611,44453,13226.335,31924837.12274,0
2024-09-14 11:00:00+00:00,2412.38,2416.27,2406.72,2415.88,57194.521,2024-09-14 11:59:59.999000+00:00,137903346.00424,65901,27595.147,66544729.79826,0
2024-09-14 12:00:00+00:00,2415.87,2422.59,2413.23,2419.27,49207.745,2024-09-14 12:59:59.999000+00:00,119049747.07552,60488,24903.436,60250966.29096,0
2024-09-14 13:00:00+00:00,2419.27,2420.06,2411.12,2415.61,33634.935,2024-09-14 13:59:59.999000+00:00,81236333.98625,50015,17462.807,42178707.24515,0
2024-09-14 14:00:00+00:00,2415.6,2422.48,2413.5,2418.99,36335.129,2024-09-14 14:59:59.999000+00:00,87899795.75223,49345,18804.187,45492554.4569,0
